DateTime,AddedIPs,RemovedIPs
1556208961,92,79
1556217123,103,88
1556219042,107,84
1556220962,86,99
1556225042,94,85
1556228882,74,124
1556231763,77,114
1556233682,96,112
1556241362,60,98
1556243283,81,88
1556247124,97,114
1556250963,81,107
1556254811,94,69
1556256722,67,83
1556258643,83,67
1556260563,135,146
1556264402,84,59
1556266323,95,83
1556272082,106,63
1556275922,81,65
1556279762,73,82
1556283644,74,68
1556285522,91,74
1556289363,73,76
1556293204,101,62
1556297043,86,85
1556298962,102,86
1556302802,72,89
1556308564,84,97
1556312434,101,86
1556314324,70,104
1556316242,68,95
1556322003,103,105
1556323923,171,142
1556325845,169,207
1556327762,76,76
1556331603,84,121
1556337363,86,98
1556341220,83,94
1556343122,79,67
1556346961,63,65
1556351043,71,58
1556354881,87,53
1556356803,76,81
1556360644,75,58
1556366410,73,80
1556368324,92,59
1556372163,90,94
1556376003,83,80
1556377922,88,82
1556381762,76,78
1556387523,91,89
1556391363,81,110
1556395213,114,90
1556397123,83,97
1556401203,93,78
1556405042,67,112
1556408882,96,106
1556412722,70,94
1556416562,83,85
1556420409,73,115
1556422323,93,118
1556426163,82,94
1556431922,84,76
1556433843,64,56
1556437683,72,50
1556441522,79,60
1556445363,85,86
1556451122,86,50
1556453283,81,71
1556455202,88,62
1556459042,88,76
1556462882,83,67
1556466722,83,77
1556470562,100,78
1556472484,92,84
1556478242,83,80
1556480403,90,84
1556484243,89,104
1556488084,75,111
1556491923,61,115
1556495763,97,98
1556499611,47,95
1556503445,72,79
1556505362,88,109
1556509202,85,93
1556513042,84,91
1556516882,96,74
1556520722,83,76
1556524562,80,73
1556526725,96,70
1556530563,68,69
1556534403,92,70
1556538243,83,54
1556542084,70,63
1556545922,83,69
1556549764,87,77
1556553612,72,82
1556555522,89,73
1556559362,100,104
1556563202,96,93
1556567043,109,75
1556568963,83,107
1556574722,95,109
1556576643,87,134
1556580962,109,115
1556582882,57,88
1556588881,68,79
1556594643,81,105
1556596563,100,109
1556600410,80,86
1556602322,97,74
1556606162,91,69
1556608082,69,91
1556610002,132,129
1556613844,64,61
1556617922,68,56
1556623683,78,68
1556625614,76,53
1556627522,77,64
1556631362,81,68
1556635202,84,81
1556639042,81,82
1556642882,101,78
1556646722,109,88
1556652482,85,88
1556654411,97,101
1556656323,94,100
1556660162,69,89
1556664002,65,104
1556668322,146,111
1556672412,55,81
1556674323,118,79
1556678161,80,98
1556682002,86,138
1556685842,80,78
1556689682,125,84
1556693522,63,51
1556697362,92,47
1556699283,84,69
1556703122,88,72
1556707203,83,57
1556711042,83,69
1556714882,84,89
1556718722,92,75
1556722563,94,83
1556726428,91,80
1556728322,93,77
1556732162,84,75
1556734083,67,87
1556739842,84,82
1556743682,94,86
1556747522,94,106
1556752562,84,126
1556754722,103,111
1556760485,55,93
1556762415,89,89
1556764322,78,120
1556768162,105,100
1556772002,80,97
1556775842,84,79
1556781602,783,855
1556783522,908,801
1556787363,64,65
1556791213,68,55
1556793122,75,73
1556797202,82,62
1556801042,81,55
1556805122,76,68
1556809213,86,85
1556811122,81,72
1556814962,97,78
1556816882,96,98
1556822642,103,86
1556826482,97,133
1556828403,103,109
1556834162,107,94
1556838242,79,123
1556840163,89,114
1556842082,0,4
1556844002,47,72
1556847842,76,79
1556851682,81,103
1556855522,101,114
1556857442,71,82
1556863214,85,86
1556865122,99,69
1556868962,95,59
1556872803,80,91
1556874723,88,76
1556880482,74,71
1556882402,85,67
1556888642,79,62
1556890562,95,75
1556894642,69,96
1556898482,97,72
1556900401,105,85
1556906162,91,99
1556910013,84,77
1556911922,95,98
1556915762,96,93
1556919602,75,97
1556923443,62,134
1556927284,105,90
1556931122,61,79
1556934963,83,81
1556938812,76,115
1556940723,88,105
1556944562,102,81
1556948402,81,77
1556952243,65,60
1556956081,83,64
1556959922,76,52
1556963763,107,61
1556965923,97,105
1556967842,101,73
1556973843,73,101
1556975763,147,110
1556977922,80,82
1556981762,91,77
1556985614,87,84
1556989442,83,79
1556991361,93,87
1556993282,74,90
1556999043,80,88
1557003122,73,75
1557005041,77,86
1557010811,56,107
1557012722,73,91
1557016562,58,85
1557024243,152,205
1557028082,111,110
1557031922,66,85
1557035763,83,62
1557039612,72,64
1557041522,84,64
1557045362,75,61
1557049201,89,55
1557053282,89,69
1557057121,94,66
1557059283,68,60
1557063122,73,55
1557065042,76,58
1557070801,90,69
1557074643,85,88
1557078482,96,78
1557082322,81,76
1557086162,98,104
1557090012,80,104
1557091922,81,110
1557093842,110,81
1557095762,81,110
1557097683,72,121
1557101522,84,103
1557103442,47,84
1557105362,81,87
1557111121,82,104
1557114963,90,96
1557118811,81,92
1557122642,90,81
1557124802,90,68
1557128642,75,70
1557132482,92,70
1557136322,65,71
1557140163,92,65
1557144011,85,58
1557145922,73,71
1557149762,78,67
1557153602,83,65
1557157442,85,72
1557161282,79,83
1557165363,96,80
1557167282,96,74
1557173042,104,89
1557174962,94,104
1557178802,84,117
1557182642,73,121
1557186482,89,130
1557188642,55,78
1557194644,78,81
1557196803,92,114
1557198723,114,92
1557200642,183,225
1557204482,94,88
1557210243,99,83
1557212163,87,80
1557216015,73,61
1557217923,84,72
1557221764,71,65
1557225842,68,63
1557229682,74,67
1557233763,78,65
1557235682,71,68
1557241441,123,121
1557247202,88,78
1557251043,103,74
1557254882,112,75
1557258722,82,83
1557262562,97,105
1557266442,81,93
1557270241,73,128
1557272163,94,121
1557278162,67,89
1557280082,85,84
1557283922,93,105
1557287762,95,112
1557291612,71,84
1557293522,81,73
1557297362,66,66
1557301202,79,64
1557305042,91,58
1557308882,88,68
