DateTime,AddedIPs,RemovedIPs
1551189764,1,0
1551208871,0,2
1551219235,1,0
1551222236,0,1
1551224175,0,1
1551252993,0,1
1551274591,0,1
1551284455,1,0
1551298429,78,0
1551306073,0,1
1551318023,626,0
1551319975,1089,0
1551321889,1739,0
1551323782,225,0
1551333408,1,0
1551385739,0,59
1551403466,0,176
1551405408,0,1033
1551407348,0,1356
1551409320,0,1134
1551418604,0,1
1551426277,1,0
1551442391,1,0
1551493747,1,0
1551503808,1,0
1551513404,0,1
1551529267,0,1
1551555328,1,0
1551580836,0,1
1551592593,0,1
1551612035,1,0
1551623806,1,0
1551641319,0,1
1551697729,0,1
1551705507,0,1
1551738531,1,0
1551740726,1,0
1551817705,1,0
1551825375,0,1
1551827330,0,1
1551881810,78,0
1551905095,0,1
1551910900,1,0
1551930516,1,0
1551944001,1,0
1551968959,0,78
1551995800,0,1
1552017678,0,1
1552029147,0,1
1552061374,1,0
1552068980,1,0
1552070911,2,0
1552082570,1,0
1552099955,1,0
1552147934,0,1
1552153945,0,1
1552157793,0,2
1552169552,0,1
1552182997,0,1
1552239639,1,0
1552254979,1,0
1552266761,1,0
1552280226,1,0
1552288354,1,0
1552326982,0,1
1552342064,0,1
1552353912,0,1
1552365651,0,1
1552373330,0,1
1552406709,1,0
1552457079,1,0
1552493809,0,1
1552507496,1,0
1552553825,1,0
1552563644,1,0
1552592926,0,1
1552602674,1,0
1552630156,1,0
1552637786,0,1
1552641658,0,1
1552649791,0,1
1552686733,1,0
1552690072,0,1
1552699730,1,0
1552715321,0,1
1552772905,0,1
1552785149,0,1
1552796668,1,0
1552829783,1,0
1552866368,1,0
1552883812,0,1
1552907094,1,0
1552910942,1,0
1552916661,0,1
1552918585,1,0
1552942621,1,0
1552952448,0,1
1552993018,0,1
1552998980,0,1
1553005000,0,1
1553026362,0,1
1553119736,1,0
1553131264,1,0
1553191336,1,0
1553207078,0,1
1553216921,0,1
1553228465,1,0
1553267584,1,0
1553271435,1,0
1553297074,0,1
1553314822,1,1
1553352506,0,1
1553360204,1,0
1553364274,0,1
1553399097,1,0
1553401003,0,1
1553446129,0,1
1553448030,1,0
1553467715,1,0
1553486249,0,1
1553494150,1,0
1553499882,1,0
1553505635,1,0
1553509488,1,0
1553521275,1,0
1553531090,2,0
1553534940,0,1
1553545022,1,0
1553554626,0,1
1553577876,1,0
1553579804,0,1
1553585791,0,1
1553591576,0,1
1553595651,0,1
1553607381,0,1
1553617257,0,2
1553630696,0,1
1553656118,1,0
1553659957,1,0
1553663785,0,1
1553742225,0,1
1553744195,0,1
1553759083,1,0
1553810682,1,0
1553812661,1,0
1553814539,1,0
1553818389,1,0
1553837597,1,0
1553841393,1,0
1553847181,0,1
1553854862,1,0
1553856770,2,0
1553895648,0,1
1553901422,0,1
1553903583,0,1
1553907413,0,1
1553923475,1,0
1553925420,0,1
1553927303,0,1
1553940978,0,1
1553942907,0,1
1553944836,0,1
1553973888,1,0
1554008918,1,0
1554010851,0,1
1554068911,0,1
1554093380,0,1
1554184125,1,0
1554193706,2,0
1554199498,1,0
1554270510,0,1
1554280153,1,2
1554286120,0,1
1554326935,1,0
1554368050,0,1
1554410449,0,1
1554420994,1,0
1554428914,1,0
1554508988,0,1
1554513173,0,1
1554540765,1,0
1554626413,0,1
1554726553,41,0
1554728504,39,0
1554736404,1,0
1554747875,1,0
1554749796,1,0
1554755564,3,0
1554764649,1,0
1554772381,1,0
1554813403,0,80
1554834509,0,1
1554842309,0,4
1554849988,0,1
1554859507,0,1
1554863343,1,0
1554881308,1,0
1554900775,0,1
1554950685,0,1
1554966273,0,1
1554992362,1,0
1555069945,1,0
1555079553,0,1
1555127585,1,0
1555156629,0,1
1555176049,1,0
1555212994,0,1
1555216839,1,0
1555261345,0,1
1555299895,0,1
1555374494,1,0
1555376510,3,0
1555378366,1,0
1555382184,1,0
1555384112,1,0
1555386020,2,0
1555391779,1,0
1555393700,1,0
1555399475,1,0
1555401385,1,0
1555403289,1,0
1555405297,1,0
1555409421,1,0
1555434757,1,0
1555450878,1,0
1555462382,0,4
1555464286,0,1
1555468138,0,1
1555470333,0,1
1555472196,0,2
1555478511,0,1
1555480380,0,1
1555486296,0,1
1555488330,0,2
1555490206,0,1
1555495963,1,1
1555505612,3,0
1555507486,4,0
1555509424,2,0
1555517408,1,0
1555521179,0,1
1555538628,0,1
1555540900,1,0
1555546603,1,0
1555582366,0,1
1555592257,0,1
1555596092,0,1
1555599923,0,2
1555603760,0,3
1555605613,0,3
1555611905,1,0
1555626166,0,1
1555635919,0,1
1555641684,1,0
1555676468,1,0
1555697850,1,1
1555727082,0,1
1555763103,0,1
1555782752,0,1
1555796672,1,0
1555881864,0,1
1555890045,1,0
1555893870,1,0
1555950035,1,0
1555978377,0,1
1555980303,0,1
1556017020,1,0
1556024937,1,0
1556036613,0,1
1556076996,1,0
1556104151,0,1
1556110111,0,1
1556161746,0,1
1556276917,1,0
1556361911,0,1
1556385402,1,0
1556470597,0,1
1556621086,1,0
1556626855,1,0
1556708715,0,1
1556710611,0,1
1556717779,1,0
1556729303,1,0
1556731245,1,0
1556805270,0,1
1556815005,0,2
1556860582,1,0
1556868305,1,0
1556898527,1,0
1556948442,0,1
1556954204,0,1
1556983254,0,1
1556996919,2,0
1557060506,1,0
1557083581,0,2
1557145469,0,1
