DateTime,AddedIPs,RemovedIPs
1552752028,19,15
1552762229,21,16
1552773028,15,18
1552783229,17,21
1552794629,13,16
1552804830,23,21
1552816230,16,19
1552826430,16,16
1552836030,18,19
1552846831,19,15
1552857031,20,19
1552867233,12,13
1552876231,23,14
1552885832,17,15
1552896630,15,15
1552907431,18,19
1552918230,23,20
1552929032,15,19
1552939231,18,17
1552947631,16,19
1552956631,18,14
1552966831,19,21
1552975231,15,16
1552985431,15,18
1552995031,18,18
1553004631,19,15
1553014830,12,0
1553025031,14,17
1553034030,17,19
1553044231,7,18
1553055630,17,28
1553065830,19,14
1553077230,17,11
1553086831,19,16
1553096430,16,19
1553106631,20,15
1553116830,18,22
1553127030,10,17
1553136030,18,17
1553144430,21,17
1553153430,16,13
1553161831,13,0
1553172030,13,16
1553182830,14,20
1553194831,15,28
1553204431,16,17
1553215830,19,13
1553226031,12,18
1553235630,20,19
1553246430,21,14
1553256631,19,14
1553267431,18,15
1553277631,17,19
1553287230,15,17
1553295630,15,19
1553305231,14,20
1553314830,19,16
1553325030,19,18
1553335831,12,17
1553344231,21,17
1553353230,11,18
1553362231,17,0
1553371830,12,15
1553382030,14,13
1553390430,13,26
1553399430,19,0
1553408430,18,18
1553417429,16,16
1553425830,19,13
1553435430,19,17
1553443830,17,15
1553454030,18,20
1553462429,16,14
1553471429,14,11
1553481030,16,14
1553486430,12,23
1553494229,13,0
1553500230,18,14
1553505630,18,19
1553514630,12,18
1553525429,12,15
1553533237,19,17
1553541031,16,0
1553550633,18,37
1553559630,13,7
1553572830,17,26
1553586630,21,40
1553599237,20,18
1553611831,13,34
1553623831,20,20
1553635830,15,37
1553646630,20,0
1553655630,17,18
1553665230,20,15
1553674830,23,20
1553686231,19,0
1553695830,18,18
1553706631,17,20
1553717430,23,18
1553727031,22,19
1553736635,18,19
1553746833,17,18
1553761830,16,19
1553774430,16,36
1553786430,15,17
1553799030,19,15
1553811630,19,17
1553822430,20,18
1553833229,18,21
1553844045,17,17
1553854829,22,17
1553865030,16,19
1553875230,15,25
1553884830,17,0
1553896237,20,18
1553907630,18,37
1553917830,22,0
1553928629,24,18
1553941229,14,36
1553953830,14,18
1553964635,16,17
1553976630,16,23
1553989829,20,16
1554001830,21,18
1554012030,21,14
1554024029,17,18
1554035430,16,21
1554045629,20,19
1554056430,17,19
1554067830,19,17
1554078030,20,15
1554088829,15,0
1554100229,18,41
1554110442,23,0
1554121230,20,16
1554132030,19,21
1554142830,15,36
1554153630,20,21
1554164429,15,0
1554174629,15,17
1554186029,16,37
1554196240,11,0
1554208230,15,33
1554219032,17,13
1554229229,18,12
1554240629,22,0
1554251429,17,35
1554261030,14,22
1554271829,14,0
1554282629,17,14
1554293429,18,16
1554304229,16,18
1554315029,16,16
1554325830,16,16
1554334228,17,14
1554343829,18,14
1554356429,16,34
1554366629,15,0
1554374429,18,20
1554384029,17,18
1554393029,20,13
1554402029,16,17
1554410429,15,15
1554418830,16,0
1554426628,16,13
1554432629,13,15
1554440429,13,0
1554448229,18,17
1554456028,16,18
1554462629,15,0
1554470429,13,27
1554477043,17,0
1554484228,17,19
1554489633,16,19
1554497428,12,15
1554504029,18,0
1554511828,15,28
1554519028,14,0
1554526828,16,13
1554533429,14,14
1554541235,17,21
1554548429,19,13
1554555028,13,16
1554561628,11,17
1554567629,15,17
1554574829,17,14
1554582028,15,12
1554588629,15,13
1554595828,12,13
1554602429,11,15
1554608428,17,12
1554616228,10,15
1554623429,9,16
1554630028,17,0
1554637228,12,32
1554645028,13,12
1554651628,12,15
1554658829,18,10
1554666030,15,12
1554671429,16,14
1554676828,15,14
1554682229,11,19
1554690028,15,9
1554697228,12,14
1554705028,16,0
1554712828,14,26
1554721828,13,27
1554731429,15,0
1554740429,16,32
1554748829,21,16
1554759028,16,29
1554767430,13,17
1554775828,15,11
1554783028,22,15
1554792629,18,31
1554801029,14,17
1554810030,14,20
1554817829,18,18
1554826829,19,18
1554835230,17,0
1554844228,15,37
1554853828,15,0
1554862228,13,17
1554871230,17,29
1554881428,17,15
1554889829,16,18
1554899428,21,18
1554909029,23,12
1554918629,19,19
1554928829,15,16
1554936628,17,16
1554945633,13,19
1554955827,17,15
1554964229,19,19
1554973828,16,16
1554982229,13,13
1554991233,15,20
1555000229,20,17
1555008628,21,18
1555017629,16,18
1555026028,16,15
1555035629,17,15
1555045234,12,19
1555054228,18,18
1555063228,15,17
1555071629,15,13
1555081228,18,15
1555090229,21,21
1555098628,19,15
1555107629,14,17
1555116028,17,19
1555126229,12,19
1555135228,18,13
1555144843,19,17
1555154429,15,12
1555163429,12,17
1555172429,13,15
1555181430,16,15
1555189829,14,17
1555199430,17,14
1555208428,18,19
1555217429,17,14
1555226428,17,21
1555235429,21,19
1555243829,18,16
1555254030,12,17
1555263029,20,13
1555271430,16,13
1555280429,21,17
1555288829,18,16
1555299029,16,21
1555308030,18,17
1555317029,17,15
1555323630,19,17
1555331430,17,18
1555338030,13,0
1555345829,23,15
1555353030,14,17
1555360829,14,16
1555366830,10,19
1555374639,16,0
1555381831,18,17
1555389631,16,15
1555401630,15,19
1555413029,18,37
1555423831,17,15
1555435237,20,37
1555444229,14,14
1555453834,17,13
1555462229,22,30
1555469436,13,22
1555477229,21,20
1555485029,21,0
1555494029,16,17
1555502429,14,16
1555511429,16,17
1555520431,14,0
1555528830,18,18
1555536629,15,15
1555543229,18,15
1555551030,19,22
1555558833,16,14
1555566029,14,0
1555575629,15,39
1555585829,11,16
1555597830,14,38
1555607429,18,11
1555617030,20,17
1555626029,19,16
1555634429,11,16
1555644629,14,14
1555653029,17,34
1555662628,14,12
1555671028,15,13
1555680628,20,0
1555689029,12,18
1555698029,23,14
1555707029,12,17
1555715429,19,15
1555724428,16,7
1555733428,13,15
1555743029,14,15
1555752029,18,17
1555761029,12,14
1555770629,15,20
1555779029,11,16
1555786833,16,18
1555794630,13,0
1555803629,15,30
1555810828,8,0
1555818028,13,20
1555828229,16,15
1555837228,22,14
1555844429,17,21
1555852229,17,17
1555862429,15,10
1555870829,18,13
1555879228,13,24
1555888230,19,0
1555897829,18,34
1555906828,22,20
1555915828,19,9
1555924828,15,17
1555935029,14,17
1555942829,23,20
1555951229,14,21
1555960228,18,18
1555969229,19,18
1555978229,16,15
1555985428,14,0
1555995628,19,37
1556004028,16,19
1556016628,19,13
1556026828,13,12
1556037028,15,17
1556046628,16,13
1556056829,16,38
1556065828,21,19
1556074229,9,17
1556080827,18,0
1556086228,13,14
1556094028,22,19
1556101228,20,0
1556109028,12,18
1556116229,14,16
1556123429,21,0
1556131228,18,19
1556139629,16,13
1556146828,14,18
1556154029,18,0
1556162428,13,30
1556171428,19,15
1556181630,16,15
1556193629,16,37
1556206228,18,35
1556217029,17,15
1556227831,17,13
1556237433,17,35
1556248829,20,34
1556258429,18,21
1556268629,17,17
1556278229,17,0
1556286029,19,17
1556295630,17,19
1556305229,14,13
1556313029,23,21
1556322028,21,0
1556331029,17,14
1556338828,14,19
1556347829,19,13
1556356829,17,20
1556365830,19,20
1556376629,12,19
1556386230,21,16
1556394029,18,11
1556403630,17,22
1556412029,14,21
1556421629,15,16
1556430629,16,21
1556440229,16,13
1556449230,20,18
1556458830,19,16
1556467829,19,14
1556476230,17,12
1556484630,15,16
1556494230,14,17
1556502629,18,19
1556512230,13,19
1556521829,17,19
1556531431,14,15
1556541628,20,15
1556550029,13,13
1556559029,20,14
1556567429,15,19
1556575829,15,16
1556583629,13,20
1556592629,19,18
1556601038,20,11
1556608832,14,15
1556616629,16,18
1556624429,13,0
1556634030,14,18
1556643028,18,18
1556652030,18,16
1556659828,15,13
1556667629,12,12
1556674229,14,20
1556681429,21,17
1556689228,20,16
1556697029,21,17
1556706029,16,19
1556715028,16,15
1556724028,16,14
1556733028,13,14
1556742028,16,13
1556750429,13,16
1556757628,14,16
1556765428,13,19
1556774427,17,17
1556783427,18,16
1556792428,19,20
1556800829,17,17
1556811028,18,30
1556819428,15,17
1556827828,19,17
1556836828,14,14
1556845828,16,16
1556853028,18,17
1556862628,17,16
1556871028,17,16
1556880028,15,21
1556889628,17,16
1556898629,14,18
1556907629,17,16
1556916028,21,18
1556925628,19,16
1556934027,20,20
1556941228,14,18
1556950828,15,16
1556959828,15,20
1556970027,17,16
1556980827,18,14
1556989827,17,14
1556997628,18,16
1557006628,19,12
1557015028,14,18
1557023428,18,15
1557030627,14,17
1557037827,19,0
1557045628,16,33
1557054628,15,0
1557066028,15,14
1557074427,15,18
1557084028,17,16
1557093028,20,34
1557101428,17,0
1557110427,17,32
1557120028,17,16
1557129045,22,19
1557138028,16,20
1557147628,12,20
1557156027,18,18
1557163828,15,14
1557171028,15,0
1557178828,16,35
1557185428,15,0
1557192028,16,16
1557202228,20,14
1557210628,16,19
1557219629,14,19
1557228028,17,19
1557237628,21,15
1557246027,17,15
1557255027,16,17
1557263428,20,11
1557272427,15,27
1557281427,15,18
1557288627,15,0
1557297627,13,36
1557307828,18,16
